,title,artist(s),album,added_at,album_type,release_date,total_tracks,disc_number,duration_ms,explicit,popularity,track_number,id,is_local
146,Intro,Ol' Dirty Bastard,album,2019-11-10T05:27:41Z,album,1995,17,1,287373,True,35,1,4f2UDzqBo643IwmmDmdJ3b,False
147,The Closing,Wu-Tang Clan,album,2019-11-10T05:27:07Z,album,1997-06-03,27,2,157293,True,33,16,1SQPxazFuoGVw45T4jDaFo,False
148,Second Coming (feat. Tekitha),Wu-Tang Clan,album,2019-11-10T05:27:06Z,album,1997-06-03,27,2,279600,True,35,15,0r7adYALoieQVamc8wn6ac,False
149,Black Shampoo,Wu-Tang Clan,album,2019-11-10T05:27:05Z,album,1997-06-03,27,2,229933,True,35,14,0GPuNZ0ro0OYx0HdDZovGm,False
150,Heaterz (feat. Cappadonna),Wu-Tang Clan,album,2019-11-10T05:27:05Z,album,1997-06-03,27,2,326266,True,41,13,2ATVo2uOcQL2Q2sBJbPgbd,False
151,Hellz Wind Staff (feat. Street Life),Wu-Tang Clan,album,2019-11-10T05:27:04Z,album,1997-06-03,27,2,292226,True,40,12,1KXpyjHZgLH7zo9D0XZ25U,False
152,Duck Seazon,Wu-Tang Clan,album,2019-11-10T05:27:02Z,album,1997-06-03,27,2,342360,True,43,11,5MzwAqpTKoLA6dNr6bAn57,False
153,Bells of War,Wu-Tang Clan,album,2019-11-10T05:27:00Z,album,1997-06-03,27,2,312133,True,43,8,1vJc5ntrmTk0f9MhqCUx13,False
154,The M.G.M.,Wu-Tang Clan,album,2019-11-10T05:27:00Z,album,1997-06-03,27,2,158693,True,42,9,1mxXB3Vsaaw9goChMrQuiK,False
155,The Projects,Wu-Tang Clan,album,2019-11-10T05:26:59Z,album,1997-06-03,27,2,197906,True,41,7,0VKqVkkMW8u4d6vz1nsfRL,False
156,The City,Wu-Tang Clan,album,2019-11-10T05:26:56Z,album,1997-06-03,27,2,245706,True,41,6,2b3gxK2X5nI7c0NSRFFDBm,False
157,Deadly Melody (feat. Street Life),Wu-Tang Clan,album,2019-11-10T05:26:55Z,album,1997-06-03,27,2,260200,True,43,5,4uUN0ZflJbw7bVINbcHMq6,False
158,Little Ghetto Boys (feat. Cappadonna),Wu-Tang Clan,album,2019-11-10T05:26:53Z,album,1997-06-03,27,2,289426,True,43,4,2BQnBW7ZbEpLg009FohI1N,False
159,Impossible (feat. Tekitha),Wu-Tang Clan,album,2019-11-10T05:26:52Z,album,1997-06-03,27,2,268933,True,46,3,2vQa5ELj0hYwrYZp8MVZn7,False
160,Triumph (feat. Cappadonna),Wu-Tang Clan,album,2019-11-10T05:26:51Z,album,1997-06-03,27,2,338186,True,66,2,3glqlA5qY3bbo8UaUDGPnw,False
161,Intro,Wu-Tang Clan,album,2019-11-10T05:26:50Z,album,1997-06-03,27,2,122800,True,38,1,57C8xbz3dy5G68nrVlqBG8,False
162,It's Yourz,Wu-Tang Clan,album,2019-11-10T05:26:48Z,album,1997-06-03,27,1,256893,True,50,11,31GUM30kjMPY93SrVh1InN,False
163,A Better Tomorrow,Wu-Tang Clan,album,2019-11-10T05:26:47Z,album,1997-06-03,27,1,295200,True,46,10,1OB7p2ulZT8Z8qkY5akeZB,False
164,Older Gods,Wu-Tang Clan,album,2019-11-10T05:26:45Z,album,1997-06-03,27,1,185960,True,44,8,3ZwmNUJgd83cZLNbQw6BSB,False
